/* CONJUNTOS */
param N_total:= 7256 ;

/* PARAMETROS */
param P:= 6705.0 ;
param R:= 200.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "tlahuac_alto_impacto.dat" ;

param : coordx coordy flag prob_ohca:=
1 503266.590918 2124090.417675 1 0.0000
2 503165.535741 2123986.385293 1 0.0000
3 502975.163181 2124079.108209 1 0.0000
4 502931.777147 2124131.671182 1 0.0000
5 503006.942808 2124152.056315 1 0.0000
6 503082.821204 2124071.316324 1 0.0000
7 503404.410284 2123907.179295 1 0.0000
8 503483.604293 2123950.556948 1 0.0000
9 503299.302832 2123533.260537 1 0.0000
10 502651.334037 2124029.767039 1 0.0000
11 502645.509234 2123936.940540 1 0.0000
12 500436.112699 2133633.395497 1 0.0000
13 494396.518418 2132967.798919 1 0.0000
14 494611.080546 2132671.409982 1 0.0000
15 494213.025144 2132816.374599 1 0.0000
16 494193.052022 2133113.369143 1 0.0000
17 494480.026415 2132903.595660 1 0.0000
18 494275.014326 2133149.968804 1 0.0000
19 498012.101388 2134422.443287 1 0.0000
20 497928.807449 2134245.881638 1 0.0000
21 504401.054453 2136569.413486 1 0.0000
22 504109.273592 2136174.392849 1 0.0000
23 504052.119850 2136096.813216 1 0.0000
24 503878.508156 2135850.863176 1 0.0000
25 504235.384775 2136721.905333 1 0.0000
26 504287.108178 2136416.093833 1 0.0000
27 503930.975490 2136193.958711 1 0.0000
28 500424.036970 2133357.984016 1 0.0000
29 496186.579666 2135225.732113 1 0.0000
30 496121.008042 2135138.441895 1 0.0000
31 496051.022398 2135045.952254 1 0.0000
32 495324.630431 2135264.661161 1 0.0000
33 495297.623368 2135231.693950 1 0.0000
34 496417.043385 2135112.046149 1 0.0000
35 496638.998115 2134984.975855 1 0.0000
36 493649.035745 2133144.975629 1 0.0000
37 493530.284184 2133222.514311 1 0.0000
38 493640.990426 2133273.002075 1 0.0000
39 493939.061418 2133284.408223 1 0.0000
40 493952.009376 2133043.405250 1 0.0000
41 494128.958603 2133427.971533 1 0.0000
42 494109.993232 2133585.987852 1 0.0000
43 493988.289870 2132187.505413 1 0.0000
