/* CONJUNTOS */
param N_total:= 11096 ;

/* PARAMETROS */
param P:= 10374.0 ;
param R:= 200.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "iztacalco_alto_impacto.dat" ;

param : coordx coordy flag prob_ohca:=
1 486030.916502 2143820.051607 1 0.0000
2 486099.863061 2144132.427851 1 0.0000
3 485827.029330 2142815.781896 1 0.0000
4 485777.128435 2142595.637661 1 0.0000
5 485875.877548 2143086.690160 1 0.0000
6 485887.185774 2143118.986410 1 0.0000
7 485966.221988 2143526.102734 1 0.0000
8 487051.953821 2144721.029430 1 0.0000
9 493728.641315 2144913.121343 1 0.0000
10 491486.930323 2144634.084925 1 0.0000
11 492396.068573 2145278.453720 1 0.0000
12 492892.782065 2144699.870400 1 0.0000
13 493594.966772 2144578.111924 1 0.0000
14 492631.463557 2144753.862657 1 0.0000
15 492232.033726 2145446.494196 1 0.0000
16 492429.496005 2145120.759596 1 0.0000
17 493103.069599 2144361.524035 1 0.0000
18 492504.289498 2144194.012508 1 0.0000
19 492909.078786 2143344.669836 1 0.0000
20 492549.990196 2143744.522891 1 0.0000
21 492131.052107 2144531.550626 1 0.0000
22 492124.097020 2143773.150635 1 0.0000
23 492381.795318 2144793.579594 1 0.0000
24 491664.021084 2145227.543676 1 0.0000
25 493167.023942 2144664.466686 1 0.0000
26 493432.022068 2144615.460203 1 0.0000
27 492537.036199 2144925.523611 1 0.0000
28 493528.082950 2144285.459549 1 0.0000
29 491802.044413 2144895.522524 1 0.0000
30 491740.066181 2144599.554756 1 0.0000
31 492973.013841 2145004.465886 1 0.0000
32 493504.120845 2145055.749879 1 0.0000
33 492156.412169 2145144.112876 1 0.0000
34 492301.283596 2145804.814708 1 0.0000
35 492101.055106 2144847.477045 1 0.0000
36 493475.056802 2143991.474673 1 0.0000
37 491955.062126 2144269.491822 1 0.0000
38 491713.102502 2143995.804253 1 0.0000
39 491181.550841 2144274.955084 1 0.0000
40 491887.013280 2145188.492645 1 0.0000
41 492491.980314 2145402.566064 1 0.0000
42 493228.034067 2144961.546155 1 0.0000
43 493387.026860 2143599.464634 1 0.0000
44 491937.024565 2145499.515170 1 0.0000
45 491441.555336 2145267.703737 1 0.0000
46 491810.676820 2145855.695682 1 0.0000
47 491936.134244 2143874.426182 1 0.0000
48 493331.282658 2143349.963657 1 0.0000
49 491974.206266 2144583.294223 1 0.0000
50 493299.512377 2144327.811929 1 0.0000
51 493009.130400 2143910.318795 1 0.0000
52 493243.718810 2143379.872256 1 0.0000
53 492305.107517 2144453.355095 1 0.0000
54 492800.825427 2145018.807706 1 0.0000
55 492294.418312 2144502.157453 1 0.0000
56 492466.709401 2144471.323557 1 0.0000
57 493770.023176 2144322.191073 1 0.0000
58 491682.547474 2144415.787009 1 0.0000
59 492765.259602 2145351.554565 1 0.0000
60 493150.517280 2144051.014867 1 0.0000
61 492620.207841 2144444.703749 1 0.0000
62 493682.937241 2143765.840229 1 0.0000
63 491615.037538 2145560.520434 1 0.0000
64 491394.480499 2145189.605208 1 0.0000
65 492346.333579 2145355.488972 1 0.0000
66 491951.130140 2144872.771859 1 0.0000
67 491645.927736 2144242.743130 1 0.0000
68 492994.051272 2143745.452316 1 0.0000
69 492698.990152 2145046.511643 1 0.0000
70 491311.013856 2144980.511401 1 0.0000
71 493271.059791 2145182.503527 1 0.0000
72 492236.020832 2144215.481427 1 0.0000
73 492710.041050 2144850.983904 1 0.0000
74 492420.427520 2145080.613055 1 0.0000
75 493057.027304 2143402.958522 1 0.0000
76 493108.993667 2143649.029889 1 0.0000
77 493081.957950 2143519.023473 1 0.0000
78 492333.963389 2143912.030315 1 0.0000
79 493040.022801 2145332.967874 1 0.0000
80 492043.997885 2145942.964202 1 0.0000
81 492754.947070 2143429.583554 1 0.0000
82 492411.989713 2144936.972792 1 0.0000
83 492561.053262 2145626.056106 1 0.0000
84 491527.946851 2145001.985909 1 0.0000
85 492134.020346 2145321.941519 1 0.0000
86 492600.999916 2145233.001217 1 0.0000
87 492402.991873 2143760.960492 1 0.0000
88 492947.978155 2143536.004941 1 0.0000
89 492958.954203 2143678.963741 1 0.0000
90 493152.019384 2143858.036230 1 0.0000
91 493484.000938 2144919.957512 1 0.0000
92 492860.020455 2143894.996224 1 0.0000
93 492426.965106 2144340.991331 1 0.0000
94 491433.040974 2144359.027810 1 0.0000
95 491624.675882 2144152.571052 1 0.0000
96 493617.994017 2143364.487599 1 0.0000
97 492217.041854 2144032.027555 1 0.0000
98 491564.034909 2144936.020049 1 0.0000
99 491778.998984 2144782.999181 1 0.0000
100 491982.041279 2145678.973972 1 0.0000
101 492260.990602 2145642.005219 1 0.0000
102 492025.954287 2144545.981426 1 0.0000
103 492559.998164 2143823.967315 1 0.0000
104 493358.028564 2144125.960062 1 0.0000
105 493505.991827 2144171.052680 1 0.0000
106 493204.598155 2144344.002559 1 0.0000
107 492905.041164 2144098.026013 1 0.0000
108 492738.975015 2144737.995912 1 0.0000
109 492526.051921 2144768.954606 1 0.0000
110 492422.003298 2144778.956576 1 0.0000
111 493079.040472 2144677.999709 1 0.0000
112 492995.047235 2144691.974228 1 0.0000
113 493208.997236 2144594.961047 1 0.0000
114 493653.997020 2144337.974991 1 0.0000
115 491914.979158 2144565.948091 1 0.0000
116 493020.020089 2144376.051332 1 0.0000
117 493396.104595 2144305.645945 1 0.0000
118 492827.035891 2144390.954159 1 0.0000
119 492074.017191 2144244.985166 1 0.0000
120 493325.019051 2144019.967028 1 0.0000
121 492768.233597 2144122.091708 1 0.0000
122 491662.028865 2144320.967126 1 0.0000
123 493440.968948 2143806.033304 1 0.0000
124 492815.946589 2143699.047972 1 0.0000
125 492597.027561 2143991.037531 1 0.0000
126 492630.371515 2143617.792864 1 0.0000
127 492315.258913 2145116.713558 1 0.0000
128 491871.925466 2144381.258210 1 0.0000
129 493842.553706 2146738.078139 1 0.0000
130 493428.649873 2146317.632265 1 0.0000
131 492830.492447 2147021.058291 1 0.0000
132 493654.196751 2146705.389965 1 0.0000
133 493016.565518 2146581.029672 1 0.0000
134 493786.438950 2146892.236760 1 0.0000
135 493416.012621 2146211.520812 1 0.0000
136 493691.987781 2145186.999434 1 0.0000
137 493348.069684 2146742.568611 1 0.0000
138 493106.922275 2145380.190996 1 0.0000
139 492717.979864 2146315.469869 1 0.0000
140 493438.509506 2146581.535690 1 0.0000
141 492474.986284 2146701.526432 1 0.0000
142 494058.041299 2146811.582502 1 0.0000
143 493354.003136 2145746.469835 1 0.0000
144 493220.983028 2146600.537501 1 0.0000
145 493603.090997 2146175.491571 1 0.0000
146 493185.044965 2146235.507304 1 0.0000
147 492224.037553 2146385.497279 1 0.0000
148 493058.025962 2147103.516630 1 0.0000
149 492801.053496 2146648.501710 1 0.0000
150 493263.006535 2146959.479722 1 0.0000
151 494015.081292 2146526.562679 1 0.0000
152 493518.025635 2147281.497168 1 0.0000
153 492865.994724 2147331.536359 1 0.0000
154 493130.027682 2145674.518493 1 0.0000
155 494113.029446 2147478.477270 1 0.0000
156 492548.051193 2146942.498193 1 0.0000
157 493156.056118 2145926.575635 1 0.0000
158 493947.568170 2145729.525453 1 0.0000
159 493726.525662 2147391.245585 1 0.0000
160 493875.951463 2145085.439017 1 0.0000
161 493642.069227 2146551.476112 1 0.0000
162 493821.066300 2146532.492479 1 0.0000
163 493276.696901 2147073.336460 1 0.0000
164 493480.000224 2146930.519827 1 0.0000
165 492977.518775 2146332.407847 1 0.0000
166 493941.046313 2147097.666730 1 0.0000
167 492778.192265 2146450.331554 1 0.0000
168 493562.308846 2145750.378068 1 0.0000
169 492647.434957 2146850.947590 1 0.0000
170 493919.599076 2145463.098547 1 0.0000
171 492523.436910 2147025.112957 1 0.0000
172 492792.461898 2146602.378377 1 0.0000
173 493454.200612 2146580.738840 1 0.0000
174 493796.947211 2146307.986157 1 0.0000
175 492681.039145 2146613.030279 1 0.0000
176 493909.924629 2147371.658205 1 0.0000
177 493068.988194 2147218.038196 1 0.0000
178 493946.960766 2145866.057870 1 0.0000
179 493990.753387 2146288.838699 1 0.0000
180 494087.934771 2147215.765553 1 0.0000
181 493310.039842 2145254.966603 1 0.0000
182 493664.952931 2145041.057987 1 0.0000
183 493491.011617 2145145.022530 1 0.0000
184 492593.025077 2145758.051748 1 0.0000
185 492546.969848 2146866.037485 1 0.0000
186 493319.023075 2145413.971232 1 0.0000
187 493511.959451 2145294.949414 1 0.0000
188 492242.983697 2146498.023104 1 0.0000
189 493744.052392 2145756.953522 1 0.0000
190 492586.016107 2146333.006590 1 0.0000
191 492336.998090 2146368.961827 1 0.0000
192 492428.017697 2146355.977137 1 0.0000
193 493517.992867 2145431.050087 1 0.0000
194 492737.960318 2146134.987091 1 0.0000
