/* CONJUNTOS */
param N_total:= 11410 ;

/* PARAMETROS */
param P:= 10606.0 ;
param R:= 200.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "tlalpan_alto_impacto.dat" ;

param : coordx coordy flag prob_ohca:=
1 476574.629411 2135250.201932 1 0.0000
2 474491.751179 2132892.511617 1 0.0000
3 476369.537571 2135209.891920 1 0.0000
4 475791.227693 2131037.976204 1 0.0000
5 475688.945347 2131243.371687 1 0.0000
6 475948.008493 2130881.970843 1 0.0000
7 485635.932198 2132478.428830 1 0.0000
8 485359.564697 2132433.834843 1 0.0000
9 485293.741064 2132241.354138 1 0.0000
10 485588.988834 2132374.010827 1 0.0000
11 485277.958222 2132473.956439 1 0.0000
12 482173.964867 2133867.563417 1 0.0000
13 481656.205892 2133863.111451 1 0.0000
14 481854.839607 2133727.695886 1 0.0000
15 485350.016571 2133234.406845 1 0.0000
16 485550.988413 2133213.001244 1 0.0000
17 484517.988408 2132839.404512 1 0.0000
18 484149.976801 2132883.428284 1 0.0000
19 484399.020754 2132925.039697 1 0.0000
20 484446.981605 2132737.997424 1 0.0000
21 484359.036107 2132611.044621 1 0.0000
22 485154.340573 2131963.507172 1 0.0000
23 484463.253329 2132174.572153 1 0.0000
24 484042.542225 2132894.734379 1 0.0000
25 484477.494703 2132406.617411 1 0.0000
26 484065.886151 2132784.408631 1 0.0000
27 484157.785421 2132321.420754 1 0.0000
28 484685.528217 2132232.819157 1 0.0000
29 480710.993019 2133243.706869 1 0.0000
30 480235.979149 2132066.990915 1 0.0000
31 481317.137854 2132858.560122 1 0.0000
32 481281.894904 2133223.415375 1 0.0000
33 481471.768634 2133141.006985 1 0.0000
34 481183.972074 2132916.014776 1 0.0000
35 481096.617146 2133177.022229 1 0.0000
36 480884.953765 2133118.044309 1 0.0000
37 485940.582147 2134591.305872 1 0.0000
38 476261.605321 2130429.325751 1 0.0000
39 476194.166094 2130447.007265 1 0.0000
40 476020.004534 2130735.040944 1 0.0000
41 476211.019782 2130719.963501 1 0.0000
42 474424.336294 2130829.279571 1 0.0000
43 475120.308889 2130887.064442 1 0.0000
44 475107.857690 2131003.044739 1 0.0000
45 474696.038318 2130763.053853 1 0.0000
46 481630.236611 2132857.356602 1 0.0000
47 481427.034517 2132752.000757 1 0.0000
48 481354.962904 2132654.036864 1 0.0000
49 483035.548021 2134129.514338 1 0.0000
50 482660.981926 2133742.243708 1 0.0000
51 482826.283701 2133817.410018 1 0.0000
52 482532.934109 2133888.609060 1 0.0000
53 482635.891720 2133969.983574 1 0.0000
54 474360.908910 2131638.447938 1 0.0000
55 482665.222577 2131087.790921 1 0.0000
56 482344.126236 2131136.397215 1 0.0000
57 482747.028703 2131005.948513 1 0.0000
58 482366.007896 2131214.005866 1 0.0000
59 482530.965607 2131410.549102 1 0.0000
60 482471.529454 2131108.530667 1 0.0000
61 482737.910083 2131483.348887 1 0.0000
62 482209.800318 2131036.507577 1 0.0000
63 476900.918447 2130510.498184 1 0.0000
64 477248.863412 2130612.413914 1 0.0000
65 483505.524635 2132529.847356 1 0.0000
66 483543.855171 2132479.037985 1 0.0000
67 483154.747199 2132291.440542 1 0.0000
68 482912.587853 2131966.723003 1 0.0000
69 476986.320364 2132735.490334 1 0.0000
70 477027.895425 2132543.456558 1 0.0000
71 477078.022829 2132718.002389 1 0.0000
72 482941.734066 2134053.394931 1 0.0000
73 477772.869416 2130588.199149 1 0.0000
74 477566.335237 2130888.429007 1 0.0000
75 477353.875443 2130811.345895 1 0.0000
76 477803.935026 2130470.427840 1 0.0000
77 478299.895537 2130363.384263 1 0.0000
78 477555.026288 2130578.949795 1 0.0000
79 476497.878247 2131365.135003 1 0.0000
80 476644.354727 2131201.403263 1 0.0000
81 476356.912036 2131238.399413 1 0.0000
82 476683.678738 2131467.692169 1 0.0000
83 489196.807918 2133997.243684 1 0.0000
84 489292.959070 2133496.936792 1 0.0000
85 489233.951655 2133486.606840 1 0.0000
86 489283.961661 2133607.994167 1 0.0000
87 484484.198666 2127589.361772 1 0.0000
88 483175.958220 2130609.738635 1 0.0000
89 483001.698465 2130196.499714 1 0.0000
90 483220.861368 2130803.226704 1 0.0000
91 483318.644622 2131097.410242 1 0.0000
92 483324.078969 2130683.350735 1 0.0000
93 483335.769408 2130474.344912 1 0.0000
94 483419.341604 2130753.472258 1 0.0000
95 483203.079813 2130704.959107 1 0.0000
96 483717.752218 2131037.890885 1 0.0000
97 483551.904352 2130468.120496 1 0.0000
98 483122.282526 2130427.076104 1 0.0000
99 485272.954056 2132652.441472 1 0.0000
100 485223.968675 2132234.439514 1 0.0000
101 484988.959944 2132786.008353 1 0.0000
102 486226.947861 2133037.426903 1 0.0000
103 486016.124947 2132684.277000 1 0.0000
104 485957.002577 2132587.944958 1 0.0000
105 486477.955894 2132762.048477 1 0.0000
106 486122.034486 2134616.395262 1 0.0000
107 486168.816116 2134778.023004 1 0.0000
108 480603.017837 2131891.213666 1 0.0000
109 480522.380515 2132142.700440 1 0.0000
110 480825.686603 2132409.381627 1 0.0000
111 480478.581394 2132255.390808 1 0.0000
112 480733.297075 2132377.943290 1 0.0000
113 480574.948865 2132271.996282 1 0.0000
114 480997.022865 2132479.023470 1 0.0000
115 480846.014064 2132356.026095 1 0.0000
116 480400.027020 2131997.988403 1 0.0000
117 480273.002452 2131907.944214 1 0.0000
118 480229.953807 2131549.036568 1 0.0000
119 480322.948419 2131747.002589 1 0.0000
120 480123.043556 2131793.029246 1 0.0000
121 480875.031487 2132172.977599 1 0.0000
122 484472.232967 2130621.213520 1 0.0000
123 475808.504740 2134237.570757 1 0.0000
124 477480.957263 2133566.422827 1 0.0000
125 478045.162811 2134102.507541 1 0.0000
126 476428.903312 2134660.444823 1 0.0000
127 478153.773696 2134347.471455 1 0.0000
128 475576.259400 2134024.754418 1 0.0000
129 477562.210601 2134804.118913 1 0.0000
130 475597.795500 2134190.748296 1 0.0000
131 478373.934784 2134577.475814 1 0.0000
132 478100.125038 2134703.500678 1 0.0000
133 478029.376388 2134106.792219 1 0.0000
134 476545.043762 2134538.024034 1 0.0000
135 476461.002654 2134866.991198 1 0.0000
136 475903.008134 2134675.960680 1 0.0000
137 476611.047487 2135050.038086 1 0.0000
