/* CONJUNTOS */
param N_total:= 12319 ;

/* PARAMETROS */
param P:= 11346.0 ;
param R:= 200.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "coyoacan_alto_impacto.dat" ;

param : coordx coordy flag prob_ohca:=
1 481631.857942 2140085.331757 1 0.0000
2 481954.497274 2140598.180655 1 0.0000
3 481894.658253 2140447.180609 1 0.0000
4 480020.568351 2138321.364436 1 0.0000
5 484689.940494 2136661.395115 1 0.0000
6 484186.934265 2136240.462469 1 0.0000
7 484649.957310 2136334.120099 1 0.0000
8 483489.707461 2135979.389784 1 0.0000
9 483358.399777 2135983.271580 1 0.0000
10 484538.996572 2136420.965256 1 0.0000
11 483911.960654 2135929.992678 1 0.0000
12 484102.956604 2136069.025024 1 0.0000
13 483116.666678 2136193.069298 1 0.0000
14 482671.996500 2135969.416925 1 0.0000
15 483251.998831 2136340.443428 1 0.0000
16 483549.951630 2136384.432382 1 0.0000
17 483898.957901 2136668.495950 1 0.0000
18 483494.001049 2137006.458585 1 0.0000
19 483238.000142 2137222.464484 1 0.0000
20 483383.009749 2136819.446896 1 0.0000
21 483106.014142 2136486.417885 1 0.0000
22 482799.992486 2136129.409031 1 0.0000
23 482524.230285 2135790.080591 1 0.0000
24 483214.960065 2136159.118811 1 0.0000
25 483132.181947 2136725.180877 1 0.0000
26 483039.897396 2135651.720222 1 0.0000
27 483299.665921 2136771.721516 1 0.0000
28 482758.897796 2135885.681409 1 0.0000
29 483391.878000 2136523.112433 1 0.0000
30 483279.934415 2136904.300907 1 0.0000
31 483289.995446 2136193.019921 1 0.0000
32 483234.016155 2136661.019137 1 0.0000
33 482933.996959 2136313.961172 1 0.0000
34 483732.038842 2136783.058755 1 0.0000
35 483291.975742 2135604.017320 1 0.0000
36 483351.987218 2137125.981722 1 0.0000
37 482262.020132 2135246.036886 1 0.0000
38 482901.233408 2135766.928101 1 0.0000
39 482966.047152 2135988.945975 1 0.0000
40 483109.030123 2135888.008658 1 0.0000
41 482687.032654 2135653.048381 1 0.0000
42 482902.836762 2135460.863096 1 0.0000
43 482891.014316 2136071.009561 1 0.0000
44 483174.090788 2135812.262385 1 0.0000
45 483753.953917 2136503.974587 1 0.0000
46 483548.012074 2136678.990003 1 0.0000
47 483459.001259 2136752.986349 1 0.0000
48 483057.045145 2136242.032947 1 0.0000
49 482423.044997 2135876.044060 1 0.0000
50 482862.961141 2136400.004639 1 0.0000
51 482456.978804 2135552.022084 1 0.0000
52 483600.015610 2136918.947481 1 0.0000
53 484308.002604 2136424.482618 1 0.0000
54 483949.678166 2136530.799934 1 0.0000
55 483925.950678 2136426.475988 1 0.0000
56 484046.996707 2136822.946471 1 0.0000
57 487518.985952 2135860.437809 1 0.0000
58 487962.982444 2135788.436293 1 0.0000
59 486469.973640 2136724.051359 1 0.0000
60 487727.858800 2135600.042655 1 0.0000
61 487802.200889 2135549.314149 1 0.0000
62 487444.053170 2135661.094758 1 0.0000
63 486952.173132 2135908.194434 1 0.0000
64 486879.958491 2136427.314427 1 0.0000
65 486888.520197 2136355.052547 1 0.0000
66 486751.031977 2136523.785713 1 0.0000
67 487271.638523 2135322.730649 1 0.0000
68 486947.177322 2135915.977950 1 0.0000
69 486892.978237 2136419.006146 1 0.0000
70 486930.032589 2136089.015496 1 0.0000
71 487531.974293 2135651.960857 1 0.0000
72 487215.960472 2135472.038954 1 0.0000
73 487382.034063 2135453.001595 1 0.0000
74 487190.006679 2135761.964992 1 0.0000
75 487036.035308 2135512.000887 1 0.0000
76 487945.035568 2135655.002090 1 0.0000
77 487217.974976 2135647.973933 1 0.0000
78 487297.023061 2135869.996822 1 0.0000
79 487433.052382 2135855.960231 1 0.0000
80 487668.033246 2135834.001046 1 0.0000
81 487851.015647 2135812.964757 1 0.0000
82 488139.045096 2135786.992856 1 0.0000
83 487105.014660 2135901.003753 1 0.0000
84 487205.951546 2135879.023431 1 0.0000
85 487359.023509 2136203.015763 1 0.0000
86 487167.968165 2136239.996602 1 0.0000
87 487008.041807 2136324.980124 1 0.0000
88 486646.004168 2136261.949388 1 0.0000
89 480880.965944 2138421.495542 1 0.0000
90 480920.025797 2138609.010395 1 0.0000
