/* CONJUNTOS */
param N_total:= 40264 ;

/* PARAMETROS */
param P:= 38034.0 ;
param R:= 200.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "iztapalapa_alto_impacto.dat" ;

param : coordx coordy flag prob_ohca:=
1 485716.452735 2142322.928809 1 0.0000
2 485688.304352 2142200.667683 1 0.0000
3 485303.931939 2140380.165551 1 0.0000
4 485356.220463 2140635.951742 1 0.0000
5 485359.163078 2140635.826544 1 0.0000
6 485536.976838 2141484.477142 1 0.0000
7 485641.080307 2141967.520142 1 0.0000
8 486230.266292 2140502.443826 1 0.0000
9 493588.075889 2143166.014168 1 0.0000
10 487815.320057 2143105.835552 1 0.0000
11 487341.825588 2143136.581703 1 0.0000
12 487951.701048 2143088.920779 1 0.0000
13 488708.102368 2142983.930254 1 0.0000
14 489462.093184 2136961.632930 1 0.0000
15 489314.012635 2137012.951171 1 0.0000
16 489020.813695 2142357.738072 1 0.0000
17 488899.696710 2142123.560474 1 0.0000
18 489313.037144 2142672.480558 1 0.0000
19 489145.037479 2141998.042748 1 0.0000
20 488872.003779 2141831.012330 1 0.0000
21 488768.021555 2142142.009848 1 0.0000
22 492722.034356 2139938.012495 1 0.0000
23 492849.020452 2140229.973050 1 0.0000
24 492456.007240 2137922.041146 1 0.0000
25 493885.158249 2136083.909980 1 0.0000
26 493123.455502 2132780.006965 1 0.0000
27 496028.936378 2142142.065117 1 0.0000
28 496134.541353 2142456.294926 1 0.0000
29 496159.075451 2142274.487920 1 0.0000
30 496392.109594 2142335.520152 1 0.0000
31 495815.437424 2142108.917421 1 0.0000
32 495947.073073 2142351.437429 1 0.0000
33 496007.054816 2142442.491003 1 0.0000
34 496148.225454 2142115.593490 1 0.0000
35 496383.160068 2142217.566555 1 0.0000
36 496152.053548 2141845.047812 1 0.0000
37 496513.999763 2142187.000896 1 0.0000
38 489894.466550 2139823.955717 1 0.0000
39 490085.954103 2139676.018853 1 0.0000
40 487782.979173 2142269.454379 1 0.0000
41 487526.049894 2142321.967922 1 0.0000
42 488017.966291 2142223.044859 1 0.0000
43 488054.002473 2142408.032118 1 0.0000
44 502560.770614 2138201.601068 1 0.0000
45 503286.056747 2137540.462341 1 0.0000
46 502517.747596 2138310.548426 1 0.0000
47 502368.582841 2138562.095453 1 0.0000
48 502124.764519 2138225.888275 1 0.0000
49 502184.516300 2138337.875057 1 0.0000
50 502907.118037 2137902.691772 1 0.0000
51 502277.947848 2138733.024477 1 0.0000
52 502123.992437 2138541.024757 1 0.0000
53 502237.011954 2138515.035122 1 0.0000
54 502239.112841 2138760.513334 1 0.0000
55 502231.039395 2138397.964683 1 0.0000
56 502063.018575 2138093.984142 1 0.0000
57 502486.977926 2137855.029227 1 0.0000
58 489063.841325 2139000.631507 1 0.0000
59 489550.201841 2138932.294187 1 0.0000
60 489228.556817 2139045.236556 1 0.0000
61 489278.372261 2139097.324241 1 0.0000
62 488812.023621 2139077.466778 1 0.0000
63 490010.837071 2138489.094843 1 0.0000
64 489219.013980 2138716.494792 1 0.0000
65 489012.047306 2139325.426820 1 0.0000
66 488687.965178 2138881.468012 1 0.0000
67 489301.956855 2139016.976891 1 0.0000
68 489054.982411 2138766.054352 1 0.0000
69 489631.997743 2140178.522742 1 0.0000
70 489558.035572 2139952.502621 1 0.0000
71 489427.022297 2140233.967076 1 0.0000
72 489246.016190 2139973.044742 1 0.0000
73 486665.046193 2141328.038929 1 0.0000
74 486180.186317 2141182.558429 1 0.0000
75 486468.465483 2141186.103362 1 0.0000
76 486008.959067 2141394.478517 1 0.0000
77 486438.579572 2140964.488801 1 0.0000
78 486327.983708 2140951.514790 1 0.0000
79 486476.157593 2141502.453081 1 0.0000
80 486412.968311 2141122.962271 1 0.0000
81 492197.929679 2135961.842542 1 0.0000
82 492301.056119 2136384.045606 1 0.0000
83 492523.046065 2136450.012102 1 0.0000
84 492419.993564 2136192.014892 1 0.0000
85 487406.835277 2142889.587420 1 0.0000
86 487598.763414 2142848.624319 1 0.0000
87 487648.144709 2143102.550539 1 0.0000
88 488120.000102 2142805.452757 1 0.0000
89 487875.518479 2142832.134695 1 0.0000
90 488005.966344 2142815.043953 1 0.0000
91 487566.965256 2142724.051268 1 0.0000
92 487873.952984 2142632.997610 1 0.0000
93 488328.031001 2142653.944941 1 0.0000
94 487888.991338 2142822.978041 1 0.0000
95 488179.977107 2142669.974813 1 0.0000
96 496612.065779 2141539.998440 1 0.0000
97 496284.115630 2141618.736392 1 0.0000
98 496555.966893 2141434.004158 1 0.0000
99 485485.242017 2140613.572669 1 0.0000
100 485647.789261 2141243.498609 1 0.0000
101 485421.808708 2140795.381233 1 0.0000
102 485618.020701 2141049.990956 1 0.0000
103 485748.965159 2141030.966083 1 0.0000
104 485450.620229 2140943.478626 1 0.0000
105 497512.601294 2137082.679800 1 0.0000
106 492265.481275 2137456.276743 1 0.0000
107 492295.018174 2137504.951025 1 0.0000
108 492145.977056 2137529.026258 1 0.0000
109 492502.035206 2137465.029796 1 0.0000
110 492420.970511 2137275.959386 1 0.0000
111 490974.744237 2135966.502288 1 0.0000
112 490917.026806 2135875.022024 1 0.0000
113 491082.044483 2135844.953780 1 0.0000
114 491122.999998 2136032.045832 1 0.0000
115 496894.067105 2137429.446925 1 0.0000
116 496978.223053 2136910.254683 1 0.0000
117 497288.214168 2136968.519280 1 0.0000
118 497128.173843 2137253.250809 1 0.0000
119 497451.052083 2137121.969694 1 0.0000
120 496902.019239 2137247.976650 1 0.0000
121 496973.948192 2137102.014864 1 0.0000
122 497134.978786 2137108.959840 1 0.0000
123 496497.001251 2137357.042170 1 0.0000
124 496700.005354 2137140.016067 1 0.0000
125 496642.046996 2137274.025969 1 0.0000
126 495447.000605 2143161.531577 1 0.0000
127 495372.032392 2143599.512999 1 0.0000
128 495472.463131 2143365.015049 1 0.0000
129 495552.040628 2143295.948217 1 0.0000
130 495268.976911 2143423.048907 1 0.0000
131 495199.011171 2143302.013511 1 0.0000
132 495536.020478 2143481.958939 1 0.0000
133 495326.021218 2143525.055686 1 0.0000
134 496309.966504 2141702.052268 1 0.0000
135 486251.441272 2140531.962009 1 0.0000
136 486321.966453 2140631.512496 1 0.0000
137 486516.875666 2140615.985988 1 0.0000
138 486776.619681 2140466.555827 1 0.0000
139 486804.959797 2140627.946051 1 0.0000
140 502523.064435 2137433.008204 1 0.0000
141 502492.405405 2137340.388435 1 0.0000
142 502883.082022 2137149.461237 1 0.0000
143 502602.485817 2137356.005759 1 0.0000
144 502395.022992 2137413.958779 1 0.0000
145 502448.032775 2137677.981027 1 0.0000
146 502238.027415 2137092.052797 1 0.0000
147 502003.958966 2137405.944542 1 0.0000
148 502214.973247 2137502.014774 1 0.0000
149 502616.050446 2137255.978504 1 0.0000
150 502718.971211 2137387.005304 1 0.0000
151 492445.958226 2133196.887592 1 0.0000
152 492663.915071 2133066.783151 1 0.0000
153 493469.321433 2133151.846429 1 0.0000
154 492635.999912 2133146.574060 1 0.0000
155 493065.250807 2133029.447129 1 0.0000
156 492725.033627 2133255.972521 1 0.0000
157 493134.964181 2133175.037938 1 0.0000
158 493014.043038 2132923.020079 1 0.0000
159 492793.948994 2132973.009550 1 0.0000
160 492278.961336 2133328.964726 1 0.0000
161 494769.823751 2137740.865563 1 0.0000
162 495110.099126 2137558.416620 1 0.0000
163 495369.017713 2137543.964086 1 0.0000
164 494838.032043 2137506.042869 1 0.0000
165 495003.983582 2137464.944683 1 0.0000
166 493011.971174 2137377.964944 1 0.0000
167 492845.044870 2137601.989232 1 0.0000
168 493155.948260 2137568.010057 1 0.0000
169 492799.023772 2137832.052673 1 0.0000
170 491674.945132 2136996.115175 1 0.0000
171 491818.982132 2136347.408987 1 0.0000
172 491641.026816 2136790.428995 1 0.0000
173 492193.969892 2136281.406422 1 0.0000
174 492053.025125 2136105.420534 1 0.0000
175 492051.008293 2136297.955438 1 0.0000
176 491551.040357 2136189.963359 1 0.0000
177 492060.972611 2136503.984662 1 0.0000
178 492331.952278 2136662.985657 1 0.0000
179 492075.978846 2136710.011734 1 0.0000
180 491831.971485 2136968.049054 1 0.0000
181 491875.990753 2136746.947013 1 0.0000
182 491994.050784 2136724.985605 1 0.0000
183 491722.956816 2136780.986119 1 0.0000
184 491858.988696 2136546.010964 1 0.0000
185 492000.026964 2136937.987705 1 0.0000
186 491908.946107 2137155.016245 1 0.0000
187 492193.003811 2136478.035002 1 0.0000
188 491510.032114 2137229.998779 1 0.0000
