/* CONJUNTOS */
param N_total:= 7408 ;

/* PARAMETROS */
param P:= 6951.0 ;
param R:= 200.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "xochimilco_alto_impacto.dat" ;

param : coordx coordy flag prob_ohca:=
1 493161.644223 2124458.613557 1 0.0000
2 492889.032882 2124604.997337 1 0.0000
3 492979.053927 2124169.995757 1 0.0000
4 491667.998644 2123849.991360 1 0.0000
5 488931.998363 2119887.948664 1 0.0000
6 490778.146058 2124202.131482 1 0.0000
7 499398.185969 2128297.480402 1 0.0000
8 499658.222295 2129359.307859 1 0.0000
9 499872.948491 2129118.050778 1 0.0000
10 499053.246819 2128513.885921 1 0.0000
11 498927.131248 2128148.818345 1 0.0000
12 498906.892614 2127925.617066 1 0.0000
13 498518.088252 2129618.363179 1 0.0000
14 498810.950838 2129127.215538 1 0.0000
15 498912.508253 2129450.248936 1 0.0000
16 499325.916166 2129020.828335 1 0.0000
17 498972.269832 2129582.957963 1 0.0000
18 499447.948257 2129298.508130 1 0.0000
19 499021.384610 2129131.214140 1 0.0000
20 498881.980645 2129328.985143 1 0.0000
21 498846.032146 2129190.009870 1 0.0000
22 499184.080349 2129073.274884 1 0.0000
23 499433.045427 2128979.966867 1 0.0000
24 499179.862665 2129249.562935 1 0.0000
25 489362.220347 2133641.829797 1 0.0000
26 486768.034294 2129993.006053 1 0.0000
27 486540.386561 2131509.206285 1 0.0000
28 490039.562937 2127627.754196 1 0.0000
29 489882.870221 2127639.790579 1 0.0000
30 487483.031679 2131233.455629 1 0.0000
31 487535.016389 2130884.979032 1 0.0000
32 485019.262076 2130424.604461 1 0.0000
33 486285.963359 2130061.523119 1 0.0000
34 485131.273125 2130530.371880 1 0.0000
35 485816.965684 2130316.047609 1 0.0000
36 486445.010690 2129855.039729 1 0.0000
37 486025.828171 2129578.174539 1 0.0000
38 486174.018333 2129881.024746 1 0.0000
39 485823.955805 2130115.984639 1 0.0000
40 486066.026873 2130201.995540 1 0.0000
41 487038.573339 2131323.970173 1 0.0000
42 486937.008255 2131167.005123 1 0.0000
43 487193.008448 2131214.956902 1 0.0000
44 486990.018652 2130945.000652 1 0.0000
45 487118.957100 2131105.021616 1 0.0000
46 488175.019853 2132948.422567 1 0.0000
47 488224.981375 2131732.441649 1 0.0000
48 487835.005426 2131501.436307 1 0.0000
49 488656.968851 2132289.408138 1 0.0000
50 487611.017572 2131547.396769 1 0.0000
51 487717.040728 2131864.009293 1 0.0000
52 487665.987909 2131727.057336 1 0.0000
53 487914.724605 2132508.127403 1 0.0000
54 488685.985065 2131978.017090 1 0.0000
55 488609.959593 2125650.374561 1 0.0000
56 491604.964358 2128280.029194 1 0.0000
57 492580.953722 2128773.994848 1 0.0000
58 496776.233098 2128640.765854 1 0.0000
59 492362.992101 2128260.332623 1 0.0000
60 492194.447276 2128071.854814 1 0.0000
61 492838.054817 2128098.921897 1 0.0000
62 492398.008369 2128309.004396 1 0.0000
63 492515.036950 2128456.011071 1 0.0000
64 492066.968494 2128073.016238 1 0.0000
65 492493.050433 2127634.548298 1 0.0000
66 492499.068382 2127701.378905 1 0.0000
67 494021.088970 2128391.389111 1 0.0000
68 494164.001299 2128020.994599 1 0.0000
69 497093.013021 2129527.358141 1 0.0000
70 496761.026355 2129410.345357 1 0.0000
71 496590.997009 2129413.031939 1 0.0000
72 496808.027211 2129566.022925 1 0.0000
73 495495.099366 2129184.443390 1 0.0000
74 489307.956734 2129556.039748 1 0.0000
75 486711.987579 2131817.023321 1 0.0000
76 486167.956010 2131864.012188 1 0.0000
77 486661.045251 2131697.999583 1 0.0000
78 491669.520406 2129725.433118 1 0.0000
79 491608.738823 2129404.130392 1 0.0000
80 486549.200116 2130066.859759 1 0.0000
81 487558.652554 2127637.241924 1 0.0000
82 498545.971392 2128745.325526 1 0.0000
83 498641.054227 2128424.984107 1 0.0000
84 496761.795490 2128414.266186 1 0.0000
85 497073.950832 2128611.614559 1 0.0000
86 497359.961830 2129015.003946 1 0.0000
87 497266.980774 2129164.949562 1 0.0000
88 497685.026792 2129217.008334 1 0.0000
89 486884.970410 2123664.023312 1 0.0000
90 486311.234923 2129710.075818 1 0.0000
91 492056.034964 2129272.366242 1 0.0000
92 488942.895146 2129566.547784 1 0.0000
93 489015.336463 2129803.076125 1 0.0000
94 488923.472642 2129943.105332 1 0.0000
95 489036.994268 2129995.374776 1 0.0000
96 489028.052852 2129455.402702 1 0.0000
97 489110.179817 2129899.064468 1 0.0000
98 489061.036905 2129608.966625 1 0.0000
99 488854.967351 2129613.959932 1 0.0000
100 488822.953432 2129502.996449 1 0.0000
101 488956.981731 2130096.004915 1 0.0000
102 498640.041764 2128941.391564 1 0.0000
103 498757.952693 2128955.214519 1 0.0000
104 498150.970437 2129073.994269 1 0.0000
105 488131.571704 2129794.998628 1 0.0000
106 487969.198294 2130086.560138 1 0.0000
107 487442.227589 2129961.989949 1 0.0000
108 487774.523660 2129994.959678 1 0.0000
109 487785.302363 2130084.911882 1 0.0000
110 487604.027142 2130073.968997 1 0.0000
111 487975.634286 2129009.256456 1 0.0000
112 487489.657632 2129249.917169 1 0.0000
113 487403.049106 2129203.376003 1 0.0000
114 488013.035182 2129312.969107 1 0.0000
115 487954.011009 2129525.015505 1 0.0000
116 487843.987574 2129842.989207 1 0.0000
117 489170.559650 2130534.276880 1 0.0000
118 489319.866763 2130334.684782 1 0.0000
119 489253.836548 2130446.591895 1 0.0000
120 489184.844132 2130877.951090 1 0.0000
121 489224.967359 2130316.040527 1 0.0000
122 489293.952301 2130762.034893 1 0.0000
123 487204.973475 2131495.007098 1 0.0000
124 487348.950711 2131228.015575 1 0.0000
125 487477.109054 2128727.320666 1 0.0000
126 487147.983434 2129201.025397 1 0.0000
127 486693.970359 2130308.415965 1 0.0000
128 486598.963134 2130290.006732 1 0.0000
129 489169.019747 2130064.342257 1 0.0000
130 489294.442210 2130164.296887 1 0.0000
131 488985.012791 2130226.998954 1 0.0000
132 489727.990099 2126014.417080 1 0.0000
133 489749.994550 2126643.343436 1 0.0000
134 486408.439842 2130417.285977 1 0.0000
135 486427.873038 2130690.690885 1 0.0000
136 486225.995369 2130803.042643 1 0.0000
137 486605.779766 2129841.864189 1 0.0000
138 487460.033679 2130030.360148 1 0.0000
139 486828.331326 2129672.959137 1 0.0000
140 486958.035401 2129566.419563 1 0.0000
141 486615.542066 2130543.828604 1 0.0000
142 486830.110029 2129662.224688 1 0.0000
143 486936.053587 2130274.049799 1 0.0000
144 486766.965355 2130112.952768 1 0.0000
145 487256.042369 2130145.025474 1 0.0000
146 498118.939591 2129278.812315 1 0.0000
147 489571.005371 2128301.326395 1 0.0000
148 489664.031410 2127963.013649 1 0.0000
149 489766.049071 2128097.950321 1 0.0000
150 498506.779702 2127840.761890 1 0.0000
151 498102.860205 2128257.174838 1 0.0000
152 497803.413696 2127954.578559 1 0.0000
153 497996.406279 2128305.872548 1 0.0000
154 497859.015743 2128013.438156 1 0.0000
155 488791.731306 2128114.455891 1 0.0000
156 488777.020872 2128289.957343 1 0.0000
157 488716.029288 2128058.955721 1 0.0000
158 489287.345521 2123445.540891 1 0.0000
159 489333.030080 2128764.427506 1 0.0000
160 489052.043243 2128454.992323 1 0.0000
161 489113.972129 2128681.015273 1 0.0000
162 489096.032096 2128204.009627 1 0.0000
163 486518.000769 2124382.190881 1 0.0000
164 486424.418025 2123361.042662 1 0.0000
165 488136.012134 2124980.022166 1 0.0000
166 486987.197513 2130820.077326 1 0.0000
167 487259.277114 2131015.184833 1 0.0000
168 487854.053879 2130283.927516 1 0.0000
169 487365.051868 2130960.006902 1 0.0000
170 487481.028378 2130611.043426 1 0.0000
171 487192.957920 2130694.010534 1 0.0000
172 487628.949461 2130565.022249 1 0.0000
173 486918.297851 2131597.009777 1 0.0000
174 487026.967738 2131777.404581 1 0.0000
175 497255.996763 2129499.006278 1 0.0000
176 497544.112803 2129279.433847 1 0.0000
177 497670.968412 2129400.026702 1 0.0000
178 491208.908055 2128143.451026 1 0.0000
179 490637.018442 2128204.039946 1 0.0000
180 491101.023593 2128024.000322 1 0.0000
181 487367.969608 2129710.420394 1 0.0000
182 487284.024447 2129585.000256 1 0.0000
183 487236.969321 2129467.964170 1 0.0000
184 487458.019530 2129698.961224 1 0.0000
185 487342.022392 2129419.979076 1 0.0000
186 487410.009738 2129566.987438 1 0.0000
187 488688.378631 2126003.633585 1 0.0000
188 489124.863197 2125790.698160 1 0.0000
189 488948.982229 2125904.663158 1 0.0000
190 489024.025426 2125549.318630 1 0.0000
191 488797.959996 2130044.427746 1 0.0000
192 488721.981398 2129528.397657 1 0.0000
193 488744.030192 2129837.985885 1 0.0000
194 488620.009333 2129971.950685 1 0.0000
195 488659.974009 2130025.038364 1 0.0000
196 485762.624874 2132065.935635 1 0.0000
197 486034.954551 2132027.877756 1 0.0000
198 486838.596923 2132229.991132 1 0.0000
