/* CONJUNTOS */
param N_total:= 9673 ;

/* PARAMETROS */
param P:= 8915.0 ;
param R:= 200.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "azcapotzalco_alto_impacto.dat" ;

param : coordx coordy flag prob_ohca:=
1 483607.956693 2153229.528358 1 0.0000
2 483716.954724 2153064.555306 1 0.0000
3 484402.635346 2152871.190378 1 0.0000
4 484432.923471 2153186.527721 1 0.0000
5 484269.314411 2152712.849833 1 0.0000
6 484194.996864 2153205.176206 1 0.0000
7 484344.985130 2153197.005294 1 0.0000
8 484249.986028 2153173.961333 1 0.0000
9 484126.030849 2152923.992228 1 0.0000
10 484323.966407 2153042.993353 1 0.0000
11 484287.037882 2152817.955536 1 0.0000
12 480298.938408 2152581.086599 1 0.0000
13 480311.904696 2152729.570172 1 0.0000
14 480093.971987 2152872.553060 1 0.0000
15 480068.606891 2152617.523440 1 0.0000
16 480177.729306 2152591.620832 1 0.0000
17 480077.621542 2152612.053813 1 0.0000
18 480195.998962 2152790.003489 1 0.0000
19 484249.674794 2152097.257822 1 0.0000
20 483924.991091 2152386.503217 1 0.0000
21 484216.924698 2152451.531259 1 0.0000
22 484113.002829 2152311.977355 1 0.0000
23 483957.197992 2152112.267803 1 0.0000
24 484098.951086 2152563.948462 1 0.0000
25 484028.007206 2152213.017236 1 0.0000
26 483904.961143 2152287.043296 1 0.0000
27 478356.967069 2155706.972642 1 0.0000
28 479050.324979 2154037.485143 1 0.0000
29 480582.508383 2154323.692163 1 0.0000
30 480639.322706 2154068.019870 1 0.0000
31 480240.365621 2154297.064303 1 0.0000
32 480457.932043 2154121.550885 1 0.0000
33 480324.918895 2154076.548636 1 0.0000
34 480521.988531 2154450.567189 1 0.0000
35 480811.483030 2154389.708935 1 0.0000
36 480359.929370 2153653.590212 1 0.0000
37 480381.906211 2153789.560249 1 0.0000
38 480635.895260 2153710.389307 1 0.0000
39 480399.040466 2153911.925128 1 0.0000
40 480610.861290 2153950.425068 1 0.0000
41 480154.659436 2154505.553588 1 0.0000
42 480627.174962 2153671.030143 1 0.0000
43 480460.983680 2154226.005144 1 0.0000
