/* CONJUNTOS */
param N_total:= 7500 ;

/* PARAMETROS */
param P:= 7490 ;
param R:= 3050 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "a3_R3050_pre10" ;

param : coordx coordy flag prob_ohca:=
1 53920.000000 42968.000000 0 0.0055
2 52019.000000 42206.000000 0 0.0054
3 52570.000000 42476.000000 0 0.3108
4 54220.000000 42081.000000 0 0.1557
5 54268.000000 43420.000000 0 0.4342
6 52288.000000 42408.000000 0 0.0461
7 54436.000000 39727.000000 0 0.2564
8 52391.000000 44323.000000 0 0.0669
9 54995.000000 43655.000000 0 0.0005
10 53761.000000 43403.000000 0 0.2247
11 53769.000000 43786.000000 0 0.5443
12 52883.000000 41365.000000 0 0.0406
13 54448.000000 42846.000000 0 0.0496
14 53358.000000 40498.000000 0 0.2808
15 54626.000000 43461.000000 0 0.0056
16 53751.000000 42326.000000 0 0.1915
17 52714.000000 41735.000000 0 0.0769
18 53545.000000 43025.000000 0 0.0685
19 55281.000000 41180.000000 0 0.0954
20 52522.000000 42088.000000 0 0.0693
21 53825.000000 42358.000000 0 0.6008
22 54951.000000 43538.000000 0 0.0012
23 55113.000000 40262.000000 0 0.1157
24 53366.000000 41560.000000 0 0.1608
25 52425.000000 42226.000000 0 0.0073
26 53729.000000 43219.000000 0 0.3969
27 54658.000000 41295.000000 0 0.0007
28 53236.000000 44502.000000 0 0.0154
29 54569.000000 43519.000000 0 0.0239
30 55192.000000 40969.000000 0 0.0035
31 52661.000000 42382.000000 0 0.4686
32 54389.000000 41903.000000 0 0.3843
33 54931.000000 42810.000000 0 0.3190
34 55003.000000 43219.000000 0 0.5823
35 56382.000000 43858.000000 0 0.1475
36 54258.000000 44302.000000 0 0.0522
37 53785.000000 43039.000000 0 0.0154
38 53844.000000 44271.000000 0 0.2276
39 53568.000000 38856.000000 0 0.3208
40 53300.000000 41958.000000 0 0.5135
41 54027.000000 39799.000000 0 0.2570
42 54307.000000 44020.000000 0 0.2848
43 52648.000000 43224.000000 0 0.8467
44 51953.000000 41115.000000 0 0.0658
45 56370.000000 40191.000000 0 0.1381
46 53655.000000 41979.000000 0 0.0010
47 49832.000000 41548.000000 0 0.0875
48 54146.000000 41202.000000 0 0.1046
49 52375.000000 41772.000000 0 0.0105
50 54484.000000 41591.000000 0 0.0129
51 51271.000000 41252.000000 0 0.4072
52 53894.000000 43780.000000 0 0.1279
