/* CONJUNTOS */
param N_total:= 1351 ;

/* PARAMETROS */
param P:= 1345 ;
param R:= 5150 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "dim2_R5150_pre6" ;

param : coordx coordy flag prob_ohca:=
1 0.000000 400871.000000 0 0.2776
2 125.000000 398530.000000 0 0.1642
3 4916.000000 419677.000000 0 0.0025
4 7579.000000 400909.000000 0 0.0007
5 7960.000000 403598.000000 0 0.0918
6 8080.000000 398966.000000 0 0.0094
7 10293.000000 410695.000000 0 0.1203
8 11306.000000 723355.000000 0 0.0683
9 11634.000000 409082.000000 0 0.0034
10 12029.000000 418215.000000 0 0.3084
11 12648.000000 402674.000000 0 0.5736
12 12694.000000 409159.000000 0 0.0165
13 12856.000000 705226.000000 0 0.0390
14 12944.000000 410486.000000 0 0.0502
15 13215.000000 395177.000000 0 0.7435
16 13813.000000 716490.000000 0 0.2901
17 13868.000000 707500.000000 0 0.0682
18 14062.000000 409124.000000 0 0.1161
19 14245.000000 401772.000000 0 0.0028
20 14310.000000 403388.000000 0 0.0297
21 14493.000000 698807.000000 0 0.0287
22 14496.000000 408168.000000 0 0.0114
23 14691.000000 412030.000000 0 0.0011
24 14929.000000 703560.000000 0 0.4518
25 14991.000000 411951.000000 0 0.4154
26 15360.000000 709502.000000 0 0.7723
27 15374.000000 412327.000000 0 0.0000
28 15415.000000 403706.000000 0 0.3001
29 15508.000000 412377.000000 0 0.0164
30 15638.000000 397752.000000 0 0.2597
31 15740.000000 396824.000000 0 0.0459
32 15989.000000 409608.000000 0 0.0275
33 16168.000000 406903.000000 0 0.0594
34 16249.000000 400266.000000 0 0.0721
35 16453.000000 691913.000000 0 0.6296
36 16620.000000 402572.000000 0 0.0123
37 16714.000000 403245.000000 0 0.0509
38 17028.000000 411276.000000 0 0.3675
39 17037.000000 397797.000000 0 0.3154
40 17244.000000 417497.000000 0 0.3996
41 17263.000000 711529.000000 0 0.1284
42 17326.000000 717934.000000 0 0.0152
43 17405.000000 397782.000000 0 0.7372
44 17502.000000 413935.000000 0 0.0041
45 17585.000000 402358.000000 0 0.4465
46 17706.000000 406651.000000 0 0.1826
47 17776.000000 418768.000000 0 0.0010
48 17994.000000 408458.000000 0 0.0006
49 18051.000000 399245.000000 0 0.1255
50 18060.000000 414657.000000 0 0.1087
51 18138.000000 701421.000000 0 0.0257
52 18162.000000 709238.000000 0 0.0727
53 18196.000000 401229.000000 0 0.4846
54 18343.000000 396922.000000 0 0.2552
55 18412.000000 422025.000000 0 0.0240
56 18555.000000 718588.000000 0 0.2698
57 18610.000000 692378.000000 0 0.0266
58 18625.000000 705986.000000 0 0.2501
59 18659.000000 403973.000000 0 0.0631
60 18702.000000 395559.000000 0 0.7084
61 18762.000000 406631.000000 0 0.0113
62 18938.000000 707052.000000 0 0.0928
63 19199.000000 708174.000000 1 0.0000
64 19217.000000 701485.000000 0 0.0477
65 19364.000000 405590.000000 0 0.1039
66 19371.000000 707071.000000 0 0.4144
67 19426.000000 409977.000000 0 0.0084
68 19523.000000 406243.000000 0 0.3683
69 19666.000000 721313.000000 0 0.3456
70 19738.000000 413473.000000 0 0.0000
71 19820.000000 413048.000000 0 0.0062
72 19913.000000 400508.000000 0 0.3733
73 20186.000000 698910.000000 0 0.1246
74 20373.000000 393789.000000 0 0.1894
75 20587.000000 403231.000000 0 0.0008
76 20753.000000 708913.000000 0 0.0996
77 20768.000000 702974.000000 0 0.0167
78 20881.000000 710297.000000 0 0.0021
79 20990.000000 706623.000000 0 0.0004
80 21011.000000 706099.000000 0 0.5013
81 21021.000000 400394.000000 0 0.0162
82 21067.000000 706810.000000 0 0.7053
83 21105.000000 413568.000000 0 0.0106
84 21269.000000 405905.000000 0 0.4488
85 21309.000000 707403.000000 0 0.0634
86 21336.000000 408197.000000 0 0.1278
