/* CONJUNTOS */
param N_total:= 5000 ;

/* PARAMETROS */
param P:= 4972 ;
param R:= 34000 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "s2_R34000_pre28" ;

param : coordx coordy flag prob_ohca:=
1 845753.000000 636607.000000 0 0.0023
2 812954.000000 643720.000000 0 0.0011
3 868217.000000 609046.000000 0 0.0308
4 920248.000000 607272.000000 0 0.0355
5 841621.000000 639394.000000 0 0.0755
6 843907.000000 598777.000000 0 0.0555
7 817712.000000 620917.000000 0 0.0000
8 865980.000000 632292.000000 0 0.1572
9 876539.000000 639944.000000 0 0.0086
10 805247.000000 642901.000000 0 0.0667
11 829227.000000 565484.000000 0 0.0018
12 834679.000000 669557.000000 0 0.3642
13 851242.000000 630615.000000 0 0.2154
14 890325.000000 702688.000000 0 0.6329
15 832159.000000 638667.000000 0 0.2385
16 833736.000000 637738.000000 0 0.6702
17 778784.000000 571492.000000 0 0.0388
18 844489.000000 672382.000000 0 0.0266
19 825802.000000 638894.000000 0 0.1320
20 875471.000000 622426.000000 0 0.6859
21 879225.000000 639387.000000 0 0.1115
22 819482.000000 633447.000000 0 0.5520
23 818212.000000 633262.000000 0 0.2543
24 839324.000000 651033.000000 0 0.2425
25 817439.000000 678071.000000 0 0.6503
26 876202.000000 600942.000000 0 0.0215
27 841025.000000 623927.000000 0 0.0000
28 850781.000000 619234.000000 0 0.0636
29 754610.000000 657392.000000 0 0.4785
30 842733.000000 640979.000000 0 0.5973
31 881538.000000 613492.000000 0 0.0078
32 804685.000000 671123.000000 0 0.0497
33 877083.000000 575129.000000 0 0.0873
34 847312.000000 655073.000000 0 0.0094
35 827558.000000 623170.000000 0 0.0323
36 896258.000000 707205.000000 0 0.0007
37 829939.000000 644422.000000 0 0.0529
38 880719.000000 597439.000000 0 0.1334
39 828313.000000 669762.000000 0 0.0000
40 778978.000000 589645.000000 0 0.0026
41 832323.000000 624353.000000 0 0.6016
42 838906.000000 655174.000000 0 0.0003
43 913673.000000 576755.000000 0 0.4472
44 875535.000000 587227.000000 0 0.2838
45 797487.000000 625675.000000 0 0.1911
46 893942.000000 596033.000000 0 0.1184
47 770410.000000 662419.000000 0 0.0022
48 814804.000000 605047.000000 0 0.0012
49 832215.000000 638387.000000 0 0.6002
50 840280.000000 643770.000000 0 0.0038
51 833327.000000 621905.000000 0 0.0006
52 763542.000000 635170.000000 0 0.0649
53 825599.000000 608689.000000 0 0.3693
54 813209.000000 683512.000000 0 0.0007
55 938544.000000 680392.000000 0 0.1162
56 834393.000000 656902.000000 0 0.0295
57 787129.000000 643393.000000 0 0.1025
58 801229.000000 617139.000000 0 0.5274
59 886144.000000 566002.000000 0 0.0262
60 865073.000000 661021.000000 0 0.1999
61 796962.000000 632416.000000 0 0.0041
62 822877.000000 612926.000000 0 0.0446
63 835985.000000 639514.000000 0 0.0673
64 908901.000000 628142.000000 0 0.3067
65 807989.000000 610817.000000 0 0.0003
66 823816.000000 651852.000000 0 0.0459
67 818245.000000 618659.000000 0 0.0005
68 827601.000000 640196.000000 0 0.7244
69 846830.000000 641704.000000 0 0.1784
70 829041.000000 623258.000000 0 0.7600
71 858850.000000 714281.000000 0 0.2006
72 835967.000000 564514.000000 0 0.0260
73 835698.000000 660461.000000 0 0.1071
74 843223.000000 632872.000000 0 0.0737
75 880916.000000 697241.000000 0 0.0315
76 813541.000000 641007.000000 0 0.1271
77 913911.000000 586519.000000 0 0.0034
78 707529.000000 693451.000000 0 0.2583
79 846436.000000 659041.000000 0 0.0399
80 865316.000000 690133.000000 0 0.0122
81 842837.000000 647272.000000 0 0.0255
82 856101.000000 601665.000000 0 0.6683
83 822815.000000 616988.000000 0 0.1946
84 823364.000000 620870.000000 0 0.0928
85 817697.000000 617678.000000 0 0.3896
86 822368.000000 648690.000000 0 0.0224
87 855476.000000 711703.000000 0 0.4419
88 818065.000000 675114.000000 0 0.1213
89 843822.000000 686283.000000 0 0.0274
90 834396.000000 637625.000000 0 0.0000
91 802367.000000 626026.000000 0 0.7985
92 774481.000000 694664.000000 0 0.0000
93 805075.000000 559992.000000 0 0.1755
94 828813.000000 622656.000000 0 0.3628
95 841088.000000 641913.000000 0 0.0451
96 736868.000000 591803.000000 0 0.0076
97 812519.000000 658809.000000 0 0.0319
98 847097.000000 610257.000000 0 0.1024
99 880136.000000 670834.000000 0 0.0000
100 871566.000000 663124.000000 1 0.0000
101 835178.000000 647851.000000 0 0.0052
102 801113.000000 631728.000000 0 0.6287
103 836302.000000 641336.000000 0 0.0735
104 865563.000000 600752.000000 0 0.3715
105 856184.000000 670732.000000 0 0.5410
106 930906.000000 675380.000000 0 0.0034
107 787684.000000 612023.000000 0 0.0350
108 879210.000000 671905.000000 0 0.1847
109 940080.000000 668730.000000 0 0.2666
110 812951.000000 619690.000000 0 0.0035
111 782647.000000 635710.000000 0 0.5225
112 834146.000000 634536.000000 0 0.0538
113 825334.000000 626399.000000 0 0.0000
114 827880.000000 657944.000000 0 0.2236
115 806472.000000 625818.000000 0 0.2721
116 813142.000000 634900.000000 0 0.0214
117 834478.000000 637224.000000 0 0.0299
118 859522.000000 666389.000000 0 0.1947
119 812822.000000 650842.000000 0 0.2436
120 927475.000000 652500.000000 0 0.4919
121 830057.000000 593423.000000 0 0.0270
122 852554.000000 687005.000000 0 0.0485
123 755212.000000 616702.000000 0 0.0061
124 825515.000000 636212.000000 0 0.0328
125 841978.000000 583774.000000 0 0.0443
126 828956.000000 617518.000000 0 0.7871
127 851077.000000 623381.000000 0 0.1465
128 847787.000000 616365.000000 0 0.1553
129 781111.000000 594759.000000 0 0.1383
130 793474.000000 650770.000000 0 0.8637
131 849922.000000 659848.000000 0 0.4208
132 857555.000000 592525.000000 0 0.6386
133 851042.000000 620360.000000 0 0.0979
134 801896.000000 668379.000000 0 0.3748
135 798422.000000 689889.000000 0 0.0469
136 802904.000000 649859.000000 0 0.0836
137 833844.000000 679629.000000 0 0.0057
138 844117.000000 650340.000000 0 0.0114
139 750522.000000 621023.000000 0 0.0843
140 835324.000000 635252.000000 0 0.1239
141 805810.000000 620656.000000 0 0.0478
142 826540.000000 709657.000000 0 0.6351
143 821335.000000 650998.000000 0 0.0035
144 844114.000000 619755.000000 0 0.0008
145 799854.000000 605921.000000 0 0.1115
146 835851.000000 659073.000000 0 0.0133
147 850049.000000 594729.000000 0 0.0111
148 901514.000000 652113.000000 0 0.0079
149 826740.000000 617100.000000 0 0.2480
150 864116.000000 598962.000000 0 0.1204
