/* CONJUNTOS */
param N_total:= 6500 ;

/* PARAMETROS */
param P:= 6460 ;
param R:= 1450 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "unbalance_R1450_pre40" ;

param : coordx coordy flag prob_ohca:=
1 151700.000000 351102.000000 0 0.4427
2 155799.000000 354358.000000 0 0.7560
3 142857.000000 352716.000000 0 0.3522
4 152726.000000 349144.000000 0 0.0656
5 151008.000000 349692.000000 0 0.0167
6 145865.000000 351895.000000 0 0.2754
7 148629.000000 350242.000000 0 0.0289
8 151083.000000 353684.000000 0 0.0752
9 161316.000000 348971.000000 0 0.0004
10 158758.000000 352360.000000 0 0.1007
11 145731.000000 350480.000000 0 0.2832
12 159597.000000 355339.000000 0 0.0244
13 152294.000000 345996.000000 0 0.0122
14 149801.000000 349982.000000 0 0.1993
15 152260.000000 350394.000000 0 0.0424
16 149352.000000 342567.000000 0 0.2076
17 149607.000000 353888.000000 0 0.0690
18 154711.000000 359310.000000 0 0.0001
19 154456.000000 349715.000000 0 0.0022
20 154482.000000 351351.000000 0 0.3053
21 152123.000000 348751.000000 0 0.0037
22 146182.000000 350827.000000 0 0.0006
23 152268.000000 349032.000000 0 0.0042
24 155155.000000 350195.000000 0 0.0022
25 151546.000000 355246.000000 0 0.0354
26 153272.000000 347661.000000 0 0.0000
27 152299.000000 348418.000000 0 0.0810
28 149040.000000 349665.000000 0 0.0024
29 150929.000000 349676.000000 0 0.0170
30 147510.000000 354280.000000 0 0.0115
31 152809.000000 356672.000000 0 0.0375
32 146373.000000 346559.000000 0 0.2469
33 146620.000000 347645.000000 0 0.0025
34 147440.000000 351382.000000 0 0.3507
35 140689.000000 347871.000000 0 0.0150
36 154549.000000 356725.000000 0 0.1443
37 151028.000000 355250.000000 0 0.1581
38 147613.000000 351520.000000 0 0.0328
39 154333.000000 352207.000000 0 0.0007
40 144588.000000 348394.000000 0 0.5630
41 149677.000000 352370.000000 0 0.0298
42 149236.000000 353471.000000 0 0.0121
43 151009.000000 350546.000000 0 0.0121
44 150989.000000 356166.000000 0 0.0002
45 147265.000000 351837.000000 0 0.3125
46 149905.000000 349644.000000 0 0.0000
47 149479.000000 351115.000000 0 0.8659
48 151985.000000 353649.000000 0 0.0050
49 153457.000000 349093.000000 0 0.0010
50 153508.000000 350082.000000 0 0.2319
