/* CONJUNTOS */
param N_total:= 150 ;

/* PARAMETROS */
param P:= 133 ;
param R:= 0.1267732437050385 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "wsc_1_R0p1268_pre17" ;

param : coordx coordy flag prob_ohca:=
1 0.488942 0.760483 0 0.0110
2 0.199023 0.680633 0 0.1015
3 0.980438 0.481562 0 0.0017
4 0.107282 0.302302 0 0.1930
5 0.885455 0.249679 1 0.0000
6 0.671342 0.787354 0 0.0969
7 0.948560 0.152649 0 0.3879
8 0.524816 0.863149 0 0.0976
9 0.584961 0.931494 0 0.2765
10 0.788872 0.668496 0 0.1918
11 0.600396 0.466547 0 0.6716
12 0.543785 0.475696 0 0.0000
13 0.402184 0.906291 1 0.0000
14 0.369771 0.632259 0 0.0208
15 0.386018 0.384078 0 0.1639
16 0.751356 0.498494 0 0.0001
17 0.388308 0.664531 0 0.3060
18 0.214324 0.832858 0 0.0066
19 0.328708 0.566633 0 0.0047
20 0.427439 0.927643 1 0.0000
21 0.106029 0.343170 0 0.0086
22 0.551123 0.977005 0 0.0715
23 0.080678 0.554700 0 0.3370
24 0.592841 0.314335 0 0.0778
25 0.373343 0.747850 0 0.0111
26 0.494696 0.219587 0 0.0110
27 0.418853 0.993418 0 0.0356
28 0.209040 0.497165 0 0.4149
29 0.359672 0.510500 0 0.1653
30 0.111408 0.273393 0 0.0377
31 0.244583 0.353055 0 0.6335
32 0.968293 0.240749 0 0.2777
33 0.387692 0.613873 0 0.0004
34 0.617694 0.488122 0 0.1337
35 0.108009 0.391970 1 0.0000
36 0.868877 0.461809 0 0.7539
37 0.034664 0.844634 0 0.0072
38 0.647362 0.263514 1 0.0000
39 0.943987 0.609096 0 0.0136
40 0.014576 0.027176 1 0.0000
41 0.173298 0.347054 0 0.1836
42 0.733885 0.831991 0 0.0354
43 0.296567 0.057355 0 0.2759
44 0.802099 0.948468 1 0.0000
45 0.385484 0.154355 0 0.0451
46 0.435355 0.206106 0 0.1199
47 0.113366 0.966835 0 0.0001
48 0.796731 0.247363 0 0.1434
49 0.072526 0.779626 0 0.7479
50 0.850480 0.265474 0 0.0122
51 0.744851 0.058533 0 0.0463
52 0.836571 0.381357 0 0.0264
53 0.459545 0.504201 0 0.3934
54 0.136324 0.349255 0 0.0259
55 0.820647 0.542410 0 0.0615
56 0.878569 0.426677 0 0.0061
57 0.854634 0.587160 0 0.1941
58 0.153409 0.957969 0 0.2588
59 0.269490 0.533589 0 0.1613
60 0.046832 0.468498 1 0.0000
61 0.573514 0.965448 1 0.0000
62 0.227343 0.706326 0 0.0030
63 0.638272 0.089457 0 0.0001
64 0.430942 0.318448 0 0.0017
65 0.476603 0.962358 0 0.4759
66 0.815648 0.258087 0 0.0014
67 0.052838 0.230838 0 0.0597
68 0.669912 0.167592 0 0.1599
69 0.907064 0.341417 0 0.0840
70 0.599833 0.506441 0 0.0002
71 0.501110 0.013034 0 0.1411
72 0.017406 0.516526 0 0.0008
73 0.560348 0.544274 0 0.0243
74 0.455495 0.440544 0 0.0148
