/* CONJUNTOS */
param N_total:= 22238 ;

/* PARAMETROS */
param P:= 20675.0 ;
param R:= 200.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "cuauhtemoc_alto_impacto.dat" ;

param : coordx coordy flag prob_ohca:=
1 484695.234045 2152204.816105 1 0.0000
2 485106.759649 2145527.836595 1 0.0000
3 485343.019578 2145910.523158 1 0.0000
4 485324.961891 2145652.494940 1 0.0000
5 485076.007395 2145887.504164 1 0.0000
6 484956.999891 2145698.496614 1 0.0000
7 485533.984125 2145760.545371 1 0.0000
8 485032.773123 2145532.135611 1 0.0000
9 485564.582570 2145935.039569 1 0.0000
10 485553.015969 2145927.505579 1 0.0000
11 485503.958044 2145631.547984 1 0.0000
12 485144.396931 2145808.330994 1 0.0000
13 485691.050030 2145757.322272 1 0.0000
14 484894.970655 2145850.032270 1 0.0000
15 485617.038154 2145767.007728 1 0.0000
16 485036.051544 2145689.025600 1 0.0000
17 485126.966998 2145678.991917 1 0.0000
18 485436.035552 2145772.021158 1 0.0000
19 486459.878833 2145717.670471 1 0.0000
20 486606.708425 2146069.216427 1 0.0000
21 485878.139553 2146017.873865 1 0.0000
22 485752.994510 2145889.503765 1 0.0000
23 486708.573732 2145868.171186 1 0.0000
24 486188.985360 2145838.486837 1 0.0000
25 485934.930210 2145735.553836 1 0.0000
26 486259.950983 2145688.498053 1 0.0000
27 486498.023989 2145902.543104 1 0.0000
28 486353.958930 2146019.500688 1 0.0000
29 486040.986885 2146026.489150 1 0.0000
30 486216.014815 2146037.530985 1 0.0000
31 486600.013597 2145960.560143 1 0.0000
32 486638.948496 2145795.547778 1 0.0000
33 486462.246419 2145794.904474 1 0.0000
34 486329.032392 2145822.557166 1 0.0000
35 485842.002346 2145857.565872 1 0.0000
36 486350.024880 2145675.483525 1 0.0000
37 486067.941718 2145717.525211 1 0.0000
38 486049.988569 2145854.527437 1 0.0000
39 486398.006547 2145954.956840 1 0.0000
40 485707.227552 2145592.789517 1 0.0000
41 486244.345894 2145464.570444 1 0.0000
42 486449.395593 2145506.176257 1 0.0000
43 486051.944570 2145531.529881 1 0.0000
44 485920.504717 2145547.123023 1 0.0000
45 486642.791063 2145566.223335 1 0.0000
46 486174.938624 2145592.515990 1 0.0000
47 486695.046100 2145696.029456 1 0.0000
48 486294.982582 2145641.001379 1 0.0000
49 486169.966568 2145681.042162 1 0.0000
50 486035.486727 2145476.946396 1 0.0000
51 486402.171728 2145492.475202 1 0.0000
52 484060.099061 2151591.225412 1 0.0000
53 484378.935835 2151438.576556 1 0.0000
54 483448.960682 2151171.512529 1 0.0000
55 482888.156351 2151530.451663 1 0.0000
56 483943.407468 2151089.893845 1 0.0000
57 483118.520367 2151828.076016 1 0.0000
